Sample,Network Architecture,Anomaly Score,Policy
1,"[3, 6, 3]",0.8005337833405676,Restricted
2,"[3, 6, 3]",0.6791173869852208,Monitored
3,"[3, 6, 3]",0.8812663797747906,Restricted
4,"[3, 6, 3]",0.6747583095237696,Monitored
5,"[3, 6, 3]",0.7900128395218241,Restricted
6,"[3, 6, 3]",0.9501593005777044,Restricted
7,"[3, 6, 3]",0.8825910090066031,Restricted
8,"[3, 6, 3]",0.812177662423037,Restricted
9,"[3, 6, 3]",0.8546355758718194,Restricted
10,"[3, 6, 3]",0.8454352566474143,Restricted
11,"[3, 6, 3]",0.8900903422127502,Restricted
12,"[3, 6, 3]",0.7948822075206945,Restricted
13,"[3, 6, 3]",0.9302800086331012,Restricted
14,"[3, 6, 3]",0.8620952077688531,Restricted
15,"[3, 6, 3]",0.9043946761095651,Restricted
16,"[3, 6, 3]",0.8705881987624512,Restricted
17,"[3, 6, 3]",0.8940370446059269,Restricted
18,"[3, 6, 3]",0.8818479833108368,Restricted
19,"[3, 6, 3]",0.9164988931613429,Restricted
20,"[3, 6, 3]",0.842373972653686,Restricted
1,"[3, 4, 3]",0.9527740554383545,Restricted
2,"[3, 4, 3]",0.8716391797297727,Restricted
3,"[3, 4, 3]",0.581339941265203,Monitored
4,"[3, 4, 3]",0.7188173446879494,Restricted
5,"[3, 4, 3]",0.8177095499113581,Restricted
6,"[3, 4, 3]",0.8950347960191032,Restricted
7,"[3, 4, 3]",0.7761365940349514,Restricted
8,"[3, 4, 3]",0.8193451731781509,Restricted
9,"[3, 4, 3]",0.8777228957363252,Restricted
10,"[3, 4, 3]",0.6754096179372051,Monitored
11,"[3, 4, 3]",0.7845958631206352,Restricted
12,"[3, 4, 3]",0.81018108520738,Restricted
13,"[3, 4, 3]",0.9594344949335982,Restricted
14,"[3, 4, 3]",0.8618373367165063,Restricted
15,"[3, 4, 3]",0.9704892259751784,Restricted
16,"[3, 4, 3]",0.8819934095389026,Restricted
17,"[3, 4, 3]",0.8804436367149733,Restricted
18,"[3, 4, 3]",0.9229491985413771,Restricted
19,"[3, 4, 3]",0.9404827673755605,Restricted
20,"[3, 4, 3]",0.7586461359936151,Restricted
1,"[3, 3]",0.7858196405379132,Restricted
2,"[3, 3]",0.6353845814153196,Monitored
3,"[3, 3]",0.8806089709608222,Restricted
4,"[3, 3]",0.9872174157031978,Restricted
5,"[3, 3]",0.8143255900896674,Restricted
6,"[3, 3]",0.9200768383478125,Restricted
7,"[3, 3]",0.7889972936815336,Restricted
8,"[3, 3]",0.9882917515152002,Restricted
9,"[3, 3]",0.8028687035082995,Restricted
10,"[3, 3]",0.9668768005894712,Restricted
11,"[3, 3]",0.7947283116495049,Restricted
12,"[3, 3]",0.7279976557761417,Restricted
13,"[3, 3]",0.7764353580647734,Restricted
14,"[3, 3]",0.9677705631202843,Restricted
15,"[3, 3]",0.5514231377932755,Monitored
16,"[3, 3]",0.9742371520415675,Restricted
17,"[3, 3]",0.8207499656049293,Restricted
18,"[3, 3]",0.8931682108307363,Restricted
19,"[3, 3]",0.7415715932101988,Restricted
20,"[3, 3]",0.8298065825402436,Restricted
